          x                      y                      z            
3.1415926535897931e+00 3.1415926535897931e+00 3.1415926535897931e+00 
3.3261177706755998e+00 3.1415926535897931e+00 3.1415926535897931e+00 
3.7029705078002735e+00 3.1415926535897931e+00 3.1415926535897931e+00 
4.1510111261742093e+00 3.1415926535897931e+00 3.1415926535897931e+00 
4.5278638632988830e+00 3.1415926535897931e+00 3.1415926535897931e+00 
4.7123889803846897e+00 3.1415926535897931e+00 3.1415926535897931e+00 
3.1415926535897931e+00 3.3261177706755998e+00 3.1415926535897931e+00 
3.3261177706756002e+00 3.3261177706756002e+00 3.1415926535897931e+00 
3.7029705078002735e+00 3.3261177706755998e+00 3.1415926535897931e+00 
4.1510111261742093e+00 3.3261177706755998e+00 3.1415926535897931e+00 
4.5278638632988830e+00 3.3261177706756002e+00 3.1415926535897931e+00 
4.7123889803846897e+00 3.3261177706755998e+00 3.1415926535897931e+00 
3.1415926535897931e+00 3.7029705078002735e+00 3.1415926535897931e+00 
3.3261177706755998e+00 3.7029705078002735e+00 3.1415926535897927e+00 
3.7029705078002739e+00 3.7029705078002735e+00 3.1415926535897931e+00 
4.1510111261742084e+00 3.7029705078002735e+00 3.1415926535897927e+00 
4.5278638632988830e+00 3.7029705078002735e+00 3.1415926535897931e+00 
4.7123889803846897e+00 3.7029705078002735e+00 3.1415926535897931e+00 
3.1415926535897931e+00 4.1510111261742093e+00 3.1415926535897931e+00 
3.3261177706756002e+00 4.1510111261742093e+00 3.1415926535897931e+00 
3.7029705078002735e+00 4.1510111261742084e+00 3.1415926535897931e+00 
4.1510111261742093e+00 4.1510111261742093e+00 3.1415926535897931e+00 
4.5278638632988830e+00 4.1510111261742093e+00 3.1415926535897931e+00 
4.7123889803846897e+00 4.1510111261742093e+00 3.1415926535897931e+00 
3.1415926535897931e+00 4.5278638632988830e+00 3.1415926535897931e+00 
3.3261177706756002e+00 4.5278638632988830e+00 3.1415926535897931e+00 
3.7029705078002735e+00 4.5278638632988830e+00 3.1415926535897931e+00 
4.1510111261742093e+00 4.5278638632988830e+00 3.1415926535897931e+00 
4.5278638632988830e+00 4.5278638632988830e+00 3.1415926535897931e+00 
4.7123889803846897e+00 4.5278638632988830e+00 3.1415926535897931e+00 
3.1415926535897931e+00 4.7123889803846897e+00 3.1415926535897931e+00 
3.3261177706755998e+00 4.7123889803846897e+00 3.1415926535897931e+00 
3.7029705078002735e+00 4.7123889803846897e+00 3.1415926535897931e+00 
4.1510111261742093e+00 4.7123889803846897e+00 3.1415926535897931e+00 
4.5278638632988830e+00 4.7123889803846897e+00 3.1415926535897931e+00 
4.7123889803846897e+00 4.7123889803846897e+00 3.1415926535897931e+00 
3.1415926535897931e+00 3.1415926535897931e+00 3.3261177706755998e+00 
3.3261177706756002e+00 3.1415926535897931e+00 3.3261177706756002e+00 
